Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Southwestern Michigan College,58900 Cherry Grove Rd Fred L. Mathews Library Dowagiac MI 49047-8436,US,Library Mail,3.72,1 lbs 
Texas A&M International University,5201 University Blvd Laredo TX 78041-1920,US,Library Mail,3.72,1 lbs 
Emmaus Bible College Library,2570 Asbury Rd Dubuque IA 52001-3096,US,Library Mail,3.72,1 lbs 
Northwest University,PO Box 579 5520 108th Ave NE Kirkland WA 98083-0579,US,Library Mail,3.72,1 lbs 
Washington Corrections Center for Women,9601 Bujacich Rd NW Gig Harbor WA 98332-8300,US,Library Mail,3.72,1 lbs 
Teton County Library,PO Box 1629 125 Virginian Ln Jackson WY 83001-1629,US,Library Mail,3.72,1 lbs 
Woodridge Public Library,3 Plaza Dr Woodridge IL 60517-2099,US,Library Mail,3.72,1 lbs 
Topeka & Shawnee County Public Library,1515 SW 10th Ave Topeka KS 66604-1374,US,Library Mail,3.72,1 lbs 
Johnston Public Library,6700 Merle Hay Rd Johnston IA 50131-1269,US,Library Mail,3.72,1 lbs 
Bangor Public Library,145 Harlow St Bangor ME 04401-4900,US,Library Mail,3.72,1 lbs 
Truth or Consequences Public Library,325 Library Ln Truth Or Consequences NM 87901-2375,US,Library Mail,3.72,1 lbs 
Tom Green County Library,33 W Beauregard Ave San Angelo TX 76903-5832,US,Library Mail,3.72,1 lbs 
Roanoke College,220 High St Salem VA 24153-3950,US,Library Mail,3.72,1 lbs 
Downers Grove Public Library,1050 Curtiss St Downers Grove IL 60515-4606,US,Library Mail,4.43,2 lbs 
Hastings Public Library,314 N Denver Ave Hastings NE 68901-5127,US,Library Mail,4.43,2 lbs 
Salt Lake County Library Services,2197 E Ft Union Blvd Cottonwood Heights UT 84121-3139,US,Library Mail,4.43,2 lbs 
Victory Branch Library,10664 W Victory Rd Boise ID 83709-3962,US,Library Mail,4.43,2 lbs 
Attleboro Public Library,74 N Main St Attleboro MA 02703-2280,US,Library Mail,4.43,2 lbs 
The Master's College Library,21726 Placerita Cyn Rd Santa Clarita CA 91321-1200,US,Library Mail,4.43,2 lbs 
Carroll College,1601 N Benton Ave Helena MT 59625-2826,US,Library Mail,4.43,2 lbs 
White Mountain Library,2935 Sweetwater Dr Rock Springs WY 82901-4331,US,Library Mail,4.43,2 lbs 
Auraria Library,1100 Lawrence St Denver CO 80204-2041,US,Library Mail,4.43,2 lbs 
Allen County Public Library,106 W Public Sq Scottsville KY 42164-1175,US,Library Mail,4.43,2 lbs 
Jefferson County Library,620 Cedar Ave Port Hadlock WA 98339-5001,US,Library Mail,4.43,2 lbs 
University of Arkansas at Little Rock,2801 S University Ave Little Rock AR 72204-1000,US,Library Mail,4.43,2 lbs 
Airway Heights Corrections Center,PO Box 1899 11919 West Sprague Ave Airway Heights WA 99001-1899,US,Library Mail,4.43,2 lbs 
San Jose State University,129 S 10th St San Jose CA 95112-3619,US,Library Mail,4.43,2 lbs 
Boundary County Library,PO Box Y Bonners Ferry ID 83805-1276,US,Library Mail,4.43,2 lbs 
Hinsdale Public Library,20 E Maple St Hinsdale IL 60521-3490,US,Library Mail,4.43,2 lbs 
University of New Hampshire,18 Library Way Durham NH 03824-3525,US,Library Mail,4.43,2 lbs 
Montgomery County Public Library,104 I H 45 N Conroe TX 77301-2720,US,Library Mail,4.43,2 lbs 
Massachusetts Library System,"33 Boston Post Rd W, Ste 400 Marlborough MA 01752-1829",US,Library Mail,4.43,2 lbs 
Jervis Public Library,613 N Washington St Rome NY 13440-4296,US,Library Mail,4.43,2 lbs 
Queens Library,8911 Merrick Blvd Jamaica NY 11432-5242,US,Library Mail,4.43,2 lbs 
Richland Public Library,955 Northgate Dr Richland WA 99352-3505,US,Library Mail,4.43,2 lbs 
Oklahoma Department of Libraries,200 NE 18th St Oklahoma City OK 73105-3205,US,Library Mail,4.43,2 lbs 
Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,US,Library Mail,4.43,2 lbs 
Lewistown Public Library,701 W Main St Lewistown MT 59457-2501,US,Library Mail,5.14,3 lbs 
